description,category,priority
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Mouse is not working.,Hardware,Low
The laptop screen is flickering and blue.,Hardware,Medium
The monitor is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
The CPU is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
Smoke is coming from the laptop unit.,Hardware,High
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the scanner unit.,Hardware,High
The monitor screen is flickering and blue.,Hardware,Medium
The server is broken and not turning on.,Hardware,High
Smoke is coming from the projector unit.,Hardware,High
The laptop screen is flickering and blue.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Mouse is not working.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
The projector screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Smoke is coming from the projector unit.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The server is broken and not turning on.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
The server is broken and not turning on.,Hardware,High
The projector screen is flickering and blue.,Hardware,Medium
The scanner is broken and not turning on.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The scanner is broken and not turning on.,Hardware,Medium
The laptop is broken and not turning on.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
The scanner screen is flickering and blue.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Smoke is coming from the laptop unit.,Hardware,High
The monitor screen is flickering and blue.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The CPU is broken and not turning on.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
Smoke is coming from the projector unit.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
